Timestamp,ShowDate,ShowVenue,TicketCost,Ticketssource, LoverFestTickets,MerchBoostEmail 
11/16/2022 11:16,5/27/2023,East Rutherford,42.55,Verified Fan Presale,No,No
11/16/2022 11:24,7/23/2023,Seattle,89.4,Verified Fan Presale,Yes,No
11/16/2022 11:25,4/29/2023,Atlanta,18.5,Verified Fan Presale,No,Yes
11/16/2022 11:26,5/7/2023,Nashville,36.9,Verified Fan Presale,No,No
11/16/2022 11:27,5/12/2023,Philadelphia,45,Verified Fan Presale,No,No
11/16/2022 11:28,7/22/2023,Seattle,74.47,Verified Fan Presale,No,No
11/16/2022 11:28,7/22/2023,Seattle,553,Verified Fan Presale,No,No
11/16/2022 11:29,8/9/2023,Los Angeles,58.15,Verified Fan Presale,No,No
11/16/2022 11:30,7/23/2023,Seattle,141.8,Verified Fan Presale,No,No
11/16/2022 11:33,5/6/2023,Nashville,24.85,Verified Fan Presale,No,No
11/16/2022 11:35,5/5/2023,Nashville,104,Verified Fan Presale,No,No
11/16/2022 11:37,5/21/2023,Foxborough,30,Verified Fan Presale,No,No
11/16/2022 11:37,4/15/2023,Tampa,49,Verified Fan Presale,Yes,No
11/16/2022 11:38,6/24/2023,Minneapolis,116.81,Verified Fan Presale,No,No
11/16/2022 11:38,6/4/2023,Chicago,32,Verified Fan Presale,No,No
11/16/2022 11:40,4/22/2023,Houston,63.85,Verified Fan Presale,No,No
11/16/2022 11:40,4/30/2023,Atlanta,50,Verified Fan Presale,No,No
11/16/2022 11:44,7/29/2023,Santa Clara,57.15,Verified Fan Presale,No,No
11/16/2022 11:53,7/22/2023,Seattle,68,Verified Fan Presale,No,Yes
11/16/2022 12:01,4/28/2023,Atlanta,50,Capital One Presale,No,Yes
11/16/2022 12:02,6/17/2023,Pittsburgh,70,Capital One Presale,No,No
11/16/2022 12:02,7/23/2023,Seattle,67,Verified Fan Presale,No,No
11/16/2022 12:03,5/13/2023,Philadelphia,74.5,Verified Fan Presale,No,Yes
11/16/2022 12:03,6/17/2023,Pittsburgh,60,Verified Fan Presale,No,No
11/16/2022 12:04,4/13/2023,Tampa,97,Verified Fan Presale,No,No
11/16/2022 12:05,3/18/2023,Glendale,33,Verified Fan Presale,No,No
11/16/2022 12:06,6/17/2023,Pittsburgh,63,Verified Fan Presale,No,No
11/16/2022 12:06,7/29/2023,Santa Clara,60,Verified Fan Presale,No,No
11/16/2022 12:06,4/23/2023,Houston,898,Verified Fan Presale,No,No
11/16/2022 12:07,4/14/2023,Tampa,25,Verified Fan Presale,No,No
11/16/2022 12:08,4/1/2023,Arlington,33,Verified Fan Presale,No,Yes
11/16/2022 12:09,6/17/2023,Pittsburgh,51.6,Capital One Presale,No,No
11/16/2022 12:09,3/18/2023,Glendale,30,Verified Fan Presale,No,Yes
11/16/2022 12:09,6/17/2023,Pittsburgh,42.65,Verified Fan Presale,Yes,No
11/16/2022 12:09,5/13/2023,Philadelphia,66,Verified Fan Presale,No,No
11/16/2022 12:10,8/9/2023,Los Angeles,55,Verified Fan Presale,No,No
11/16/2022 12:10,3/31/2023,Arlington,195,Verified Fan Presale,No,Yes
11/16/2022 12:10,5/28/2023,East Rutherford,45,Verified Fan Presale,No,Yes
11/16/2022 12:11,7/8/2023,Kansas City,29,Verified Fan Presale,No,Yes
11/16/2022 12:11,6/17/2023,Pittsburgh,52,Verified Fan Presale,No,No
11/16/2022 12:11,8/5/2023,Los Angeles,34,Verified Fan Presale,Yes,No
11/16/2022 12:12,7/28/2023,Santa Clara,50,Verified Fan Presale,No,No
11/16/2022 12:16,7/7/2023,Kansas City,61.1,Verified Fan Presale,No,Yes
11/16/2022 12:17,7/8/2023,Kansas City,140,Verified Fan Presale,No,No
11/16/2022 12:18,5/27/2023,East Rutherford,280,Verified Fan Presale,No,No
11/16/2022 12:18,8/8/2023,Los Angeles,116,Verified Fan Presale,No,Yes
11/16/2022 12:18,6/10/2023,Detroit,30,Verified Fan Presale,No,No
11/16/2022 12:19,5/27/2023,East Rutherford,36,Verified Fan Presale,Yes,Yes
11/16/2022 12:19,3/17/2023,Glendale,32.47,Verified Fan Presale,No,No
11/16/2022 12:20,5/27/2023,East Rutherford,19,Verified Fan Presale,No,Yes
11/16/2022 12:20,5/14/2023,Philadelphia,37,Verified Fan Presale,No,No
11/16/2022 12:21,3/18/2023,Glendale,32.97,Verified Fan Presale,No,No
11/16/2022 12:21,7/14/2023,Denver,138,Verified Fan Presale,No,No
11/16/2022 12:21,6/24/2023,Minneapolis,70,Verified Fan Presale,No,Yes
11/16/2022 12:21,6/10/2023,Detroit,38,Verified Fan Presale,No,Yes
11/16/2022 12:21,7/22/2023,Seattle,50,Verified Fan Presale,No,No
11/16/2022 12:22,5/13/2023,Philadelphia,94.4,Verified Fan Presale,No,Yes
11/16/2022 12:22,3/31/2023,Arlington,23,Verified Fan Presale,No,No
11/16/2022 12:22,4/22/2023,Houston,30,Verified Fan Presale,No,No
11/16/2022 12:24,6/17/2023,Pittsburgh,74.85,Verified Fan Presale,No,Yes
11/16/2022 12:24,6/17/2023,Pittsburgh,50,Verified Fan Presale,No,Yes
11/16/2022 12:25,5/14/2023,Philadelphia,23,Capital One Presale,No,Yes
11/16/2022 12:25,7/23/2023,Seattle,65,Verified Fan Presale,No,No
11/16/2022 12:25,8/3/2023,Los Angeles,59.65,Verified Fan Presale,No,No
11/16/2022 12:25,7/22/2023,Seattle,117,Verified Fan Presale,No,Yes
11/16/2022 12:25,6/10/2023,Detroit,35,Verified Fan Presale,No,Yes
